Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): Pittsburgh, Pennsylvania, USA
Station Name: -
Latitude: 40.4370�
Longitude: -79.9720�
Elevation (USGS): 787.58 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.315,0.376,0.455,0.516,0.594,0.653,0.710,0.768,0.846,0.903
10-min:, 0.489,0.587,0.708,0.796,0.908,0.989,1.07,1.15,1.24,1.32
15-min:, 0.600,0.717,0.869,0.980,1.12,1.22,1.33,1.43,1.55,1.64
30-min:, 0.794,0.960,1.19,1.36,1.58,1.75,1.92,2.08,2.30,2.46
60-min:, 0.969,1.18,1.49,1.73,2.05,2.31,2.56,2.82,3.18,3.46
2-hr:, 1.12,1.36,1.71,1.98,2.36,2.66,2.97,3.29,3.73,4.07
3-hr:, 1.18,1.43,1.80,2.09,2.49,2.82,3.16,3.51,4.00,4.39
6-hr:, 1.42,1.70,2.12,2.46,2.94,3.33,3.74,4.18,4.79,5.28
12-hr:, 1.66,1.99,2.46,2.84,3.39,3.84,4.32,4.83,5.56,6.15
24-hr:, 1.98,2.35,2.88,3.31,3.91,4.40,4.92,5.46,6.22,6.83
2-day:, 2.31,2.74,3.32,3.79,4.44,4.97,5.51,6.07,6.85,7.46
3-day:, 2.48,2.94,3.54,4.02,4.69,5.23,5.78,6.35,7.13,7.75
4-day:, 2.65,3.14,3.75,4.25,4.94,5.49,6.05,6.63,7.41,8.03
7-day:, 3.17,3.74,4.42,4.96,5.68,6.25,6.83,7.41,8.19,8.77
10-day:, 3.65,4.29,5.01,5.58,6.35,6.95,7.54,8.13,8.90,9.48
20-day:, 5.10,5.98,6.89,7.61,8.56,9.28,9.98,10.7,11.6,12.2
30-day:, 6.41,7.48,8.55,9.38,10.5,11.3,12.1,12.9,13.8,14.5
45-day:, 8.18,9.54,10.8,11.7,12.9,13.8,14.6,15.4,16.4,17.1
60-day:, 9.87,11.5,12.8,13.9,15.2,16.1,17.0,17.8,18.8,19.5

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.349,0.416,0.504,0.569,0.654,0.719,0.780,0.843,0.926,0.989
10-min:, 0.542,0.650,0.784,0.879,1.00,1.09,1.17,1.26,1.36,1.44
15-min:, 0.664,0.795,0.962,1.08,1.24,1.35,1.46,1.57,1.70,1.80
30-min:, 0.879,1.06,1.32,1.50,1.75,1.93,2.11,2.29,2.52,2.70
60-min:, 1.07,1.31,1.65,1.91,2.26,2.54,2.82,3.10,3.48,3.79
2-hr:, 1.22,1.49,1.88,2.17,2.58,2.90,3.22,3.56,4.03,4.40
3-hr:, 1.30,1.57,1.97,2.29,2.72,3.07,3.43,3.81,4.32,4.74
6-hr:, 1.55,1.87,2.32,2.69,3.20,3.62,4.06,4.51,5.16,5.67
12-hr:, 1.82,2.18,2.69,3.10,3.69,4.17,4.68,5.21,5.97,6.58
24-hr:, 2.12,2.53,3.09,3.54,4.18,4.70,5.23,5.80,6.59,7.24
2-day:, 2.47,2.94,3.56,4.05,4.74,5.29,5.86,6.45,7.26,7.91
3-day:, 2.64,3.14,3.77,4.28,4.99,5.55,6.14,6.73,7.55,8.20
4-day:, 2.82,3.34,3.99,4.51,5.24,5.82,6.41,7.01,7.84,8.49
7-day:, 3.34,3.95,4.66,5.22,5.98,6.58,7.18,7.78,8.59,9.22
10-day:, 3.83,4.52,5.27,5.88,6.68,7.30,7.92,8.54,9.35,9.96
20-day:, 5.35,6.28,7.24,7.99,8.98,9.73,10.5,11.2,12.1,12.8
30-day:, 6.72,7.86,8.97,9.85,11.0,11.8,12.7,13.5,14.5,15.2
45-day:, 8.54,9.96,11.2,12.2,13.5,14.4,15.3,16.1,17.1,17.8
60-day:, 10.3,11.9,13.4,14.5,15.8,16.8,17.7,18.6,19.6,20.3

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.285,0.340,0.411,0.465,0.533,0.585,0.633,0.682,0.747,0.795
10-min:, 0.443,0.531,0.639,0.717,0.815,0.886,0.953,1.02,1.10,1.16
15-min:, 0.543,0.650,0.785,0.882,1.01,1.10,1.18,1.27,1.37,1.45
30-min:, 0.718,0.870,1.07,1.23,1.42,1.57,1.71,1.85,2.03,2.17
60-min:, 0.877,1.07,1.35,1.56,1.85,2.07,2.29,2.51,2.81,3.05
2-hr:, 1.02,1.24,1.56,1.80,2.14,2.40,2.67,2.94,3.31,3.59
3-hr:, 1.08,1.31,1.64,1.91,2.27,2.55,2.85,3.14,3.55,3.87
6-hr:, 1.31,1.57,1.95,2.25,2.68,3.02,3.38,3.74,4.25,4.65
12-hr:, 1.53,1.83,2.26,2.60,3.09,3.48,3.89,4.32,4.92,5.40
24-hr:, 1.86,2.21,2.70,3.10,3.65,4.10,4.56,5.04,5.70,6.23
2-day:, 2.17,2.58,3.12,3.56,4.15,4.63,5.12,5.62,6.30,6.82
3-day:, 2.34,2.78,3.33,3.78,4.40,4.89,5.39,5.90,6.59,7.12
4-day:, 2.51,2.97,3.54,4.01,4.64,5.15,5.66,6.18,6.87,7.41
7-day:, 3.01,3.55,4.20,4.70,5.38,5.90,6.43,6.95,7.64,8.15
10-day:, 3.48,4.09,4.77,5.31,6.03,6.59,7.13,7.67,8.37,8.88
20-day:, 4.87,5.71,6.57,7.26,8.14,8.82,9.46,10.1,10.9,11.5
30-day:, 6.13,7.16,8.17,8.96,9.99,10.8,11.5,12.2,13.1,13.7
45-day:, 7.85,9.14,10.3,11.2,12.3,13.2,14.0,14.7,15.6,16.2
60-day:, 9.49,11.0,12.3,13.3,14.6,15.5,16.3,17.1,18.0,18.6

Date/time (GMT):  Thu Mar 28 15:41:53 2019
pyRunTime:  0.0166189670563
